School_No,School_Name,Education_Sector,School_Type,Address_Line_1,Address_Town,Address_Postcode,Region,Area,LGA_Name,X,Y,Distance_km_from_Melbourne_Connect,Map_Category_Sector,Map_Category_Type,Map_Category_Area,Map_Category_Suburb,Website_For_Popup,Logo_Image_URL,Logo_Status_For_Popup
849,Healesville Primary School,Government,Primary,2 View Street,Healesville,3777,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.5160425,-37.65713287,51.06,Government,Primary,Outer Eastern Melbourne,Healesville,,,
5345,Heany Park Primary School,Government,Primary,Buckingham Drive,Rowville,3178,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Knox (C),145.24288,-37.933923,28.63,Government,Primary,Outer Eastern Melbourne,Rowville,,,
8816,Heathmont College,Government,Secondary,Waters Grove,Heathmont,3135,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Maroondah (C),145.2321036,-37.83842619,23.91,Government,Secondary,Outer Eastern Melbourne,Heathmont,,,
4819,Heathmont East Primary School,Government,Primary,Louis Street,Heathmont,3135,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Maroondah (C),145.257688,-37.830346,25.99,Government,Primary,Outer Eastern Melbourne,Heathmont,,,
2071,Heritage College Knox,Independent,Pri/Sec,977-985 Burwood Highway,Ferntree Gully,3156,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Knox (C),145.286487,-37.887291,29.91,Independent,Pri/Sec,Outer Eastern Melbourne,Ferntree Gully,,,
2541,Hoddles Creek Primary School,Government,Primary,700 Gembrook-Launching Place Road,Hoddles Creek,3139,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.5977536,-37.83173912,55.76,Government,Primary,Outer Eastern Melbourne,Hoddles Creek,,,
1747,Holy Spirit School,Catholic,Primary,120 Oban Road,Ringwood North,3134,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Maroondah (C),145.236917,-37.793231,23.97,Catholic,Primary,Outer Eastern Melbourne,Ringwood North,,,
1893,Holy Trinity School,Catholic,Primary,10 Riddell Road,Wantirna South,3152,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Knox (C),145.242912,-37.877468,25.93,Catholic,Primary,Outer Eastern Melbourne,Wantirna South,,,
5121,Kalinda Primary School,Government,Primary,39-49 Kalinda Road,Ringwood,3134,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Maroondah (C),145.254827,-37.7893,25.56,Government,Primary,Outer Eastern Melbourne,Ringwood,,,
3993,Kallista Primary School,Government,Primary,72 Monbulk Road,Kallista,3791,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.370004,-37.885086,36.86,Government,Primary,Outer Eastern Melbourne,Kallista,,,
5295,Karoo Primary School,Government,Primary,160 Karoo Road,Rowville,3178,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Knox (C),145.263279,-37.905324,28.74,Government,Primary,Outer Eastern Melbourne,Rowville,,,
5082,Kent Park Primary School,Government,Primary,17 Greenaway Drive,Ferntree Gully,3156,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Knox (C),145.262733,-37.883491,27.80,Government,Primary,Outer Eastern Melbourne,Ferntree Gully,,,
3645,Kilsyth Primary School,Government,Primary,555 Mt Dandenong Road,Kilsyth,3137,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.3149427,-37.80210649,30.81,Government,Primary,Outer Eastern Melbourne,Kilsyth,,,
5429,Knox Central Primary School,Government,Primary,39 Darwin Road,Boronia,3155,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Knox (C),145.254975,-37.86116,26.42,Government,Primary,Outer Eastern Melbourne,Boronia,,,
5234,Knox Gardens Primary School,Government,Primary,80 Argyle Way,Wantirna South,3152,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Knox (C),145.229582,-37.882282,25.02,Government,Primary,Outer Eastern Melbourne,Wantirna South,,,
4990,Knox Park Primary School,Government,Primary,117 Kathryn Road,Knoxfield,3180,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Knox (C),145.251402,-37.883627,26.87,Government,Primary,Outer Eastern Melbourne,Knoxfield,,,
2599,Launching Place Primary School,Government,Primary,Carter Street,Launching Place,3139,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.5707669,-37.78250174,53.33,Government,Primary,Outer Eastern Melbourne,Launching Place,,,
7219,Lilydale Heights College,Government,Secondary,17-19 Nelson Road,Lilydale,3140,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.3414068,-37.7458221,33.69,Government,Secondary,Outer Eastern Melbourne,Lilydale,,,
7995,Lilydale High School,Government,Secondary,25 Melba Avenue,Lilydale,3140,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.343917,-37.760697,33.65,Government,Secondary,Outer Eastern Melbourne,Lilydale,,,
876,Lilydale Primary School,Government,Primary,63 - 65 Castella Street,Lilydale,3140,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.3540681,-37.75367357,34.64,Government,Primary,Outer Eastern Melbourne,Lilydale,,,
1914,Little Yarra Steiner School,Independent,Pri/Sec,205 Little Yarra Road,Yarra Junction,3797,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.631163,-37.79444291,58.60,Independent,Pri/Sec,Outer Eastern Melbourne,Yarra Junction,,,
1633,Luther College,Independent,Secondary,Plymouth Rd,Croydon Hills,3136,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Maroondah (C),145.272909,-37.782963,27.18,Independent,Secondary,Outer Eastern Melbourne,Croydon Hills,,,
2234,Lyrebird College,Independent,Special,5/12 Kelso Street,Coldstream,3770,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.382269,-37.733037,37.49,Independent,Special,Outer Eastern Melbourne,Coldstream,,,
1866,Lysterfield Primary School,Government,Primary,68 - 78 Bellfield Drive,Lysterfield,3156,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Knox (C),145.276229,-37.911598,30.06,Government,Primary,Outer Eastern Melbourne,Lysterfield,,,
3620,Macclesfield Primary School,Government,Primary,405 Macclesfield Road,Macclesfield,3782,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.4753695,-37.88979216,45.97,Government,Primary,Outer Eastern Melbourne,Macclesfield,,,
5009,Manchester Primary School,Government,Primary,Monomeith Street,Mooroolbark,3138,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.309555,-37.772127,30.50,Government,Primary,Outer Eastern Melbourne,Mooroolbark,,,
5045,Marlborough Primary School,Government,Primary,Hardy Crescent,Heathmont,3135,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Maroondah (C),145.232942,-37.836412,23.94,Government,Primary,Outer Eastern Melbourne,Heathmont,,,
1644,Mater Christi College,Catholic,Secondary,28 Bayview Road,Belgrave,3160,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.3588871,-37.9106377,36.76,Catholic,Secondary,Outer Eastern Melbourne,Belgrave,,,
8912,Melba Secondary College,Government,Secondary,20 Brentnall Road,Croydon,3136,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Maroondah (C),145.262016,-37.795523,26.16,Government,Secondary,Outer Eastern Melbourne,Croydon,,,
1706,Melbourne Rudolf Steiner School,Independent,Pri/Sec,213 Wonga Road,Warranwood,3134,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Maroondah (C),145.248811,-37.777221,25.13,Independent,Pri/Sec,Outer Eastern Melbourne,Warranwood,,,
2457,Menzies Creek Primary School,Government,Primary,12 School Road,Menzies Creek,3159,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.394271,-37.917349,39.94,Government,Primary,Outer Eastern Melbourne,Menzies Creek,,,
5441,Millwarra Primary School,Government,Primary,Cavanagh Road,Millgrove,3799,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.6518558,-37.75278559,60.66,Government,Primary,Outer Eastern Melbourne,Millgrove,,,
8065,Monbulk College,Government,Secondary,146-148 David Hill Road,Monbulk,3793,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.4278068,-37.88317535,41.74,Government,Secondary,Outer Eastern Melbourne,Monbulk,,,
3265,Monbulk Primary School,Government,Primary,1 Main Road,Monbulk,3793,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.4102612,-37.87685153,40.08,Government,Primary,Outer Eastern Melbourne,Monbulk,,,
2259,Montrose Primary School,Government,Primary,17-21 Leith Road,Montrose,3765,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.343691,-37.808098,33.34,Government,Primary,Outer Eastern Melbourne,Montrose,,,
8071,Mooroolbark College,Government,Secondary,186 Manchester Road,Mooroolbark,3138,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.3142304,-37.77508326,30.88,Government,Secondary,Outer Eastern Melbourne,Mooroolbark,,,
5059,Mooroolbark East Primary School,Government,Primary,106-112 Taylor Road,Mooroolbark,3138,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.335705,-37.78680042,32.67,Government,Primary,Outer Eastern Melbourne,Mooroolbark,,,
1930,Mooroolbark Grammar,Independent,Pri/Sec,4 Birchwood Drive,Mooroolbark,3138,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.3250651,-37.76461019,31.95,Independent,Pri/Sec,Outer Eastern Melbourne,Mooroolbark,,,
3284,Mount Dandenong Primary School,Government,Primary,13 - 15 Farndons Road,Mount Dandenong,3767,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.362166,-37.83074276,35.12,Government,Primary,Outer Eastern Melbourne,Mount Dandenong,,,
1701,Mount Evelyn Christian School/Ranges TEC,Independent,Pri/Sec,135 York Road,Mount Evelyn,3796,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.3670969,-37.79883442,35.39,Independent,Pri/Sec,Outer Eastern Melbourne,Mount Evelyn,,,
3642,Mount Evelyn Primary School,Government,Primary,33 Monbulk Road,Mount Evelyn,3796,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.3888224,-37.79092979,37.32,Government,Primary,Outer Eastern Melbourne,Mount Evelyn,,,
474,Mount Lilydale Mercy College,Catholic,Secondary,120 Anderson Street,Lilydale,3140,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.3577545,-37.75075881,35.01,Catholic,Secondary,Outer Eastern Melbourne,Lilydale,,,
4905,Mountain Gate Primary School,Government,Primary,Adele Avenue,Ferntree Gully,3156,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Knox (C),145.269706,-37.885691,28.46,Government,Primary,Outer Eastern Melbourne,Ferntree Gully,,,
4886,Mullum Primary School,Government,Primary,18 Panfield Avenue,Ringwood,3134,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Maroondah (C),145.239443,-37.797737,24.18,Government,Primary,Outer Eastern Melbourne,Ringwood,,,
8185,Norwood Secondary College,Government,Secondary,9 Byron Street,Ringwood,3134,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Maroondah (C),145.237605,-37.799752,24.01,Government,Secondary,Outer Eastern Melbourne,Ringwood,,,
3494,Olinda Primary School,Government,Primary,45 Charlemont Lane,Olinda,3788,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.3661919,-37.85469614,35.82,Government,Primary,Outer Eastern Melbourne,Olinda,,,
1645,Our Lady of Lourdes School,Catholic,Primary,23 Orange Grove,Bayswater,3153,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Knox (C),145.265765,-37.848985,27.03,Catholic,Primary,Outer Eastern Melbourne,Bayswater,,,
1342,Our Lady of Perpetual Help School,Catholic,Primary,2 Wilana Street,Ringwood,3134,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Maroondah (C),145.232182,-37.816423,23.60,Catholic,Primary,Outer Eastern Melbourne,Ringwood,,,
1792,Oxley Christian College,Independent,Pri/Sec,15 - 49 Old Melbourne Rd,Chirnside Park,3116,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.30513,-37.763573,30.23,Independent,Pri/Sec,Outer Eastern Melbourne,Chirnside Park,,,
5281,Park Ridge Primary School,Government,Primary,Wentworth Avenue,Rowville,3178,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Knox (C),145.262461,-37.918414,29.30,Government,Primary,Outer Eastern Melbourne,Rowville,,,
4937,Pembroke Primary School,Government,Primary,25 Pembroke Road,Mooroolbark,3138,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.327244,-37.796796,31.89,Government,Primary,Outer Eastern Melbourne,Mooroolbark,,,
5131,Regency Park Primary School,Government,Primary,50 Amesbury Avenue,Wantirna,3152,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Knox (C),145.236165,-37.854873,24.64,Government,Primary,Outer Eastern Melbourne,Wantirna,,,
4911,Ringwood Heights Primary School,Government,Primary,60 Summit Crescent,Ringwood North,3134,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Maroondah (C),145.217212,-37.804226,22.23,Government,Primary,Outer Eastern Melbourne,Ringwood North,,,
4120,Ringwood North Primary School,Government,Primary,172 Oban Road,Ringwood North,3134,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Maroondah (C),145.230739,-37.79313,23.42,Government,Primary,Outer Eastern Melbourne,Ringwood North,,,
8270,Ringwood Secondary College,Government,Secondary,Bedford Road,Ringwood,3134,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Maroondah (C),145.239147,-37.816606,24.22,Government,Secondary,Outer Eastern Melbourne,Ringwood,,,
5241,Rolling Hills Primary School,Government,Primary,52 Landscape Drive,Mooroolbark,3138,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.32684,-37.766514,32.08,Government,Primary,Outer Eastern Melbourne,Mooroolbark,,,
5000,Rowville Primary School,Government,Primary,11 Paratea Drive,Rowville,3178,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Knox (C),145.237108,-37.922924,27.57,Government,Primary,Outer Eastern Melbourne,Rowville,,,
8734,Rowville Secondary College,Government,Secondary,17 Paratea Drive,Rowville,3178,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Knox (C),145.2370885,-37.92388682,27.62,Government,Secondary,Outer Eastern Melbourne,Rowville,,,
4916,Ruskin Park Primary School,Government,Primary,18 - 20 Ruskin Ave,Croydon,3136,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Maroondah (C),145.29616,-37.798944,29.16,Government,Primary,Outer Eastern Melbourne,Croydon,,,
1509,Sacred Heart School,Catholic,Primary,50 Monastery Drive,Croydon,3136,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Maroondah (C),145.272793,-37.79749,27.11,Catholic,Primary,Outer Eastern Melbourne,Croydon,,,
3222,Sassafras Primary School,Government,Primary,399 Mt Dandenong Tourist Road,Sassafras,3787,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.354552,-37.861625,34.95,Government,Primary,Outer Eastern Melbourne,Sassafras,,,
1028,Scoresby Primary School,Government,Primary,11 Ingrid Street,Scoresby,3179,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Knox (C),145.227501,-37.89395,25.36,Government,Primary,Outer Eastern Melbourne,Scoresby,,,
8307,Scoresby Secondary College,Government,Secondary,Cavell Street,Scoresby,3179,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Knox (C),145.2362,-37.888642,25.83,Government,Secondary,Outer Eastern Melbourne,Scoresby,,,
4685,Selby Primary School,Government,Primary,2 Morley Street,Selby,3159,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.367517,-37.911431,37.50,Government,Primary,Outer Eastern Melbourne,Selby,,,
2820,Seville Primary School,Government,Primary,639 Warburton Highway,Seville,3139,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.4644066,-37.77389139,44.04,Government,Primary,Outer Eastern Melbourne,Seville,,,
6252,Sherbrooke Community School,Government,Pri/Sec,311 Mt Dandenong Tourist Road,Sassafras,3787,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.349444,-37.868244,34.66,Government,Pri/Sec,Outer Eastern Melbourne,Sassafras,,,
1801,Silvan Primary School,Government,Primary,269 Monbulk Road,Silvan,3795,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.42132,-37.824597,40.24,Government,Primary,Outer Eastern Melbourne,Silvan,,,
1871,St Andrews Christian College,Independent,Pri/Sec,130 Tyner Road,Wantirna South,3152,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Knox (C),145.244636,-37.873866,25.95,Independent,Pri/Sec,Outer Eastern Melbourne,Wantirna South,,,
1857,St Bernadette's Catholic Primary School,Catholic,Primary,1264 Mountain Highway,The Basin,3154,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Knox (C),145.310841,-37.853904,31.02,Catholic,Primary,Outer Eastern Melbourne,The Basin,,,
1013,St Brigid's School,Catholic,Primary,1 High Street,Healesville,3777,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.5157966,-37.65867854,50.99,Catholic,Primary,Outer Eastern Melbourne,Healesville,,,
1406,St John the Baptist School,Catholic,Primary,17 Forest Road,Ferntree Gully,3156,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Knox (C),145.295174,-37.887382,30.63,Catholic,Primary,Outer Eastern Melbourne,Ferntree Gully,,,
1646,St Joseph's College,Catholic,Secondary,5 Brenock Park Drive,Ferntree Gully,3156,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Knox (C),145.295093,-37.89049,30.74,Catholic,Secondary,Outer Eastern Melbourne,Ferntree Gully,,,
1641,St Joseph's Primary School,Catholic,Primary,212 Boronia Road,Boronia,3155,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Knox (C),145.274814,-37.862707,28.15,Catholic,Primary,Outer Eastern Melbourne,Boronia,,,
1579,St Joseph's School,Catholic,Primary,40 Milners Road,Yarra Junction,3797,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.616814,-37.792172,57.34,Catholic,Primary,Outer Eastern Melbourne,Yarra Junction,,,
1697,St Jude the Apostle School,Catholic,Primary,53 George Street,Scoresby,3179,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Knox (C),145.225957,-37.889844,25.05,Catholic,Primary,Outer Eastern Melbourne,Scoresby,,,
1782,St Luke's School,Catholic,Primary,25 Stokes Road,Wantirna,3152,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Knox (C),145.235066,-37.853378,24.51,Catholic,Primary,Outer Eastern Melbourne,Wantirna,,,
1669,St Mary's College for the Deaf,Catholic,Special,10A Riddell Road,Wantirna South,3152,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Knox (C),145.242789,-37.877901,25.94,Catholic,Special,Outer Eastern Melbourne,Wantirna South,,,
1804,St Mary's School,Catholic,Primary,58 Clegg Road,Mount Evelyn,3796,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.395858,-37.790516,37.93,Catholic,Primary,Outer Eastern Melbourne,Mount Evelyn,,,
567,St Patrick's School,Catholic,Primary,40 Jones Street,Lilydale,3140,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.3526145,-37.75273475,34.53,Catholic,Primary,Outer Eastern Melbourne,Lilydale,,,
1879,St Paul's School,Catholic,Primary,59 Moores Road,Monbulk,3793,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.412057,-37.867995,40.04,Catholic,Primary,Outer Eastern Melbourne,Monbulk,,,
1655,St Peter Julian Eymard,Catholic,Primary,Reay Road,Mooroolbark,3138,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.3175154,-37.7879128,31.07,Catholic,Primary,Outer Eastern Melbourne,Mooroolbark,,,
1891,St Richard's Primary School,Catholic,Primary,672 Mount Dandenong Road,Kilsyth,3137,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.3217417,-37.80656384,31.41,Catholic,Primary,Outer Eastern Melbourne,Kilsyth,,,
1830,St Simon's School,Catholic,Primary,2 Taylors Lane,Rowville,3178,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Knox (C),145.245327,-37.925677,28.35,Catholic,Primary,Outer Eastern Melbourne,Rowville,,,
1618,St Thomas More's School,Catholic,Primary,Reynold's Lane,Belgrave,3160,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.3526801,-37.90841476,36.16,Catholic,Primary,Outer Eastern Melbourne,Belgrave,,,
3356,Tecoma Primary School,Government,Primary,1536 Burwood Highway,Tecoma,3160,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.3449218,-37.90695837,35.47,Government,Primary,Outer Eastern Melbourne,Tecoma,,,
5196,Templeton Primary School,Government,Primary,Crestdale Road,Wantirna,3152,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Knox (C),145.232288,-37.860941,24.49,Government,Primary,Outer Eastern Melbourne,Wantirna,,,
2329,The Basin Primary School,Government,Primary,Cnr Liverpool Road & Mountain Highway,The Basin,3154,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Knox (C),145.308425,-37.84951,30.72,Government,Primary,Outer Eastern Melbourne,The Basin,,,
1841,The Knox School,Independent,Pri/Sec,220 Burwood Highway,Wantirna South,3152,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Knox (C),145.219198,-37.865467,23.54,Independent,Pri/Sec,Outer Eastern Melbourne,Wantirna South,,,
5173,The Patch Primary School,Government,Primary,53 Kallista-Emerald Road,The Patch,3792,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.392841,-37.892418,39.00,Government,Primary,Outer Eastern Melbourne,The Patch,,,
1080,Tintern Grammar,Independent,Pri/Sec,90 Alexandra Road,Ringwood East,3135,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Maroondah (C),145.25669,-37.815515,25.74,Independent,Pri/Sec,Outer Eastern Melbourne,Ringwood East,,,
5075,Tinternvale Primary School,Government,Primary,Tintern Avenue,Ringwood East,3135,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Maroondah (C),145.265345,-37.818406,26.53,Government,Primary,Outer Eastern Melbourne,Ringwood East,,,
3237,Toolangi Primary School,Government,Primary,Main Road,Toolangi,3777,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Murrindindi (S),145.472501,-37.535374,53.55,Government,Primary,Outer Eastern Melbourne,Toolangi,,,
3926,Upper Ferntree Gully Primary School,Government,Primary,Talaskia Road,Upper Ferntree Gully,3156,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Knox (C),145.314325,-37.895604,32.52,Government,Primary,Outer Eastern Melbourne,Upper Ferntree Gully,,,
8410,Upper Yarra Secondary College,Government,Secondary,81-89 Little Yarra Road,Yarra Junction,3797,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.623933,-37.79209352,57.97,Government,Secondary,Outer Eastern Melbourne,Yarra Junction,,,
8415,Upwey High School,Government,Secondary,1451 Burwood Highway,Upwey,3158,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.335475,-37.904357,34.59,Government,Secondary,Outer Eastern Melbourne,Upwey,,,
4530,Upwey Primary School,Government,Primary,15 Darling Avenue,Upwey,3158,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.3328027,-37.90286736,34.31,Government,Primary,Outer Eastern Melbourne,Upwey,,,
4894,Upwey South Primary School,Government,Primary,91 Morris Road,Upwey,3158,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.3268393,-37.91313917,34.22,Government,Primary,Outer Eastern Melbourne,Upwey,,,
2247,Urban College,Independent,Secondary,2-4 Langwith Avenue,Boronia,3155,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Knox (C),145.28017,-37.861113,28.56,Independent,Secondary,Outer Eastern Melbourne,Boronia,,,
5057,Victoria Road Primary School,Government,Primary,44 Victoria Road,Lilydale,3140,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.336107,-37.755181,33.06,Government,Primary,Outer Eastern Melbourne,Lilydale,,,
1836,Village School,Independent,Primary,9-13 Holloway Road,Croydon North,3136,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Maroondah (C),145.294493,-37.763749,29.30,Independent,Primary,Outer Eastern Melbourne,Croydon North,,,
3892,Wandin North Primary School,Government,Primary,220 Warburton Highway,Wandin North,3139,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.409713,-37.769783,39.29,Government,Primary,Outer Eastern Melbourne,Wandin North,,,
1033,Wandin Yallock Primary School,Government,Primary,105 Beenak Road,Wandin North,3139,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.43595,-37.790251,41.46,Government,Primary,Outer Eastern Melbourne,Wandin North,,,
8428,Wantirna College,Government,Secondary,90 Harold Street,Wantirna,3152,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Knox (C),145.229974,-37.857598,24.19,Government,Secondary,Outer Eastern Melbourne,Wantirna,,,
3709,Wantirna Primary School,Government,Primary,120 Mountain Highway,Wantirna,3152,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Knox (C),145.216509,-37.856256,23.01,Government,Primary,Outer Eastern Melbourne,Wantirna,,,
4582,Wantirna South Primary School,Government,Primary,16 Tyner Road,Wantirna South,3152,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Knox (C),145.237339,-37.872529,25.29,Government,Primary,Outer Eastern Melbourne,Wantirna South,,,
1485,Warburton Primary School,Government,Primary,16 Horners Road,Warburton,3799,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.7017044,-37.75580451,65.00,Government,Primary,Outer Eastern Melbourne,Warburton,,,
3476,Warranwood Primary School,Government,Primary,1 Wellington Park Drive,Warranwood,3134,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Maroondah (C),145.246981,-37.774347,25.01,Government,Primary,Outer Eastern Melbourne,Warranwood,,,
5012,Wattle View Primary School,Government,Primary,Wattletree Road,Ferntree Gully,3156,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Knox (C),145.278016,-37.875825,28.81,Government,Primary,Outer Eastern Melbourne,Ferntree Gully,,,
1771,Waverley Christian College,Independent,Pri/Sec,1248 High Street Road,Wantirna South,3152,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Knox (C),145.215299,-37.880135,23.77,Independent,Pri/Sec,Outer Eastern Melbourne,Wantirna South,,,
3466,Wesburn Primary School,Government,Primary,2850 Warburton Highway,Wesburn,3799,NORTH-EASTERN VICTORIA,Outer Eastern Melbourne,Yarra Ranges (S),145.6470677,-37.76869153,60.10,Government,Primary,Outer Eastern Melbourne,Wesburn,,,
