School_No,School_Name,Education_Sector,School_Type,Address_Line_1,Address_Town,Address_Postcode,Region,Area,LGA_Name,X,Y,Distance_km_from_Melbourne_Connect,Map_Category_Sector,Map_Category_Type,Map_Category_Area,Map_Category_Suburb,Website_For_Popup,Logo_Image_URL,Logo_Status_For_Popup
1584,Christ Our Holy Redeemer School,Catholic,Primary,43 Ferntree Gully Road,Oakleigh East,3166,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.105753,-37.896158,16.38,Catholic,Primary,Inner Eastern Melbourne,Oakleigh East,,,
734,Clayton North Primary School,Government,Primary,1714 Dandenong Road,Clayton,3168,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.122666,-37.911944,18.65,Government,Primary,Inner Eastern Melbourne,Clayton,,,
3680,Deepdene Primary School,Government,Primary,958a Burke Road,Deepdene,3103,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.061355,-37.808366,8.58,Government,Primary,Inner Eastern Melbourne,Deepdene,,,
5019,Donburn Primary School,Government,Primary,22a Colchester Drive,Doncaster East,3109,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Manningham (C),145.165525,-37.787456,17.74,Government,Primary,Inner Eastern Melbourne,Doncaster East,,,
5454,Doncaster Gardens Primary School,Government,Primary,Sandhurst Avenue,Doncaster East,3109,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Manningham (C),145.1479,-37.781607,16.26,Government,Primary,Inner Eastern Melbourne,Doncaster East,,,
197,Doncaster Primary School,Government,Primary,2 - 12 Council Street,Doncaster,3108,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Manningham (C),145.129673,-37.786804,14.61,Government,Primary,Inner Eastern Melbourne,Doncaster,,,
7776,Doncaster Secondary College,Government,Secondary,123 Church Road,Doncaster,3108,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Manningham (C),145.138053,-37.784581,15.36,Government,Secondary,Inner Eastern Melbourne,Doncaster,,,
1724,Donvale Christian College,Independent,Pri/Sec,155 Tindals Road,Donvale,3111,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Manningham (C),145.193451,-37.774028,20.34,Independent,Pri/Sec,Inner Eastern Melbourne,Donvale,,,
4961,Donvale Primary School,Government,Primary,Elata Street,Donvale,3111,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Manningham (C),145.173778,-37.800414,18.40,Government,Primary,Inner Eastern Melbourne,Donvale,,,
7773,East Doncaster Secondary College,Government,Secondary,20 George Street,Doncaster East,3109,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Manningham (C),145.158557,-37.782127,17.19,Government,Secondary,Inner Eastern Melbourne,Doncaster East,,,
