id,map_id,address,description,pic,link,icon,lat,lng,anim,title,infoopen,category,approved,retina,Custom Field:Education Sector,Custom Field:School Type,Custom Field:Area,Custom Field:Suburb,Custom Field:Nearest Six Secondary,Custom Field:Distance from Melbourne Connect
904679,2,"159-165 Beaconsfield Parade, Northcote, 3070",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Special</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Northcote</div><div><strong>Distance from Melbourne Connect:</strong> 4.50 km</div>,,,,-37.76399724,144.9873978,0,Croxton Special School,0,,1,0,Government,Special,North Eastern Melbourne,Northcote,No,4.50
902047,2,"96 Barkly Street, North Fitzroy, 3068",<div><strong>Education sector:</strong> Independent</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> North Fitzroy</div><div><strong>Distance from Melbourne Connect:</strong> 2.87 km</div>,,,,-37.77883164,144.9827723,0,Deutsche Schule Melbourne,0,,1,0,Independent,Primary,North Eastern Melbourne,North Fitzroy,No,2.87
905037,2,"129-163 Main Hurstbridge Road, Diamond Creek, 3089",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Diamond Creek</div><div><strong>Distance from Melbourne Connect:</strong> 22.57 km</div>,,,,-37.674193,145.165596,0,Diamond Creek East Primary School,0,,1,0,Government,Primary,North Eastern Melbourne,Diamond Creek,No,22.57
901003,2,"17 Clyde Street, Diamond Creek, 3089",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Diamond Creek</div><div><strong>Distance from Melbourne Connect:</strong> 21.79 km</div>,,,,-37.67184929,145.1516539,0,Diamond Creek Primary School,0,,1,0,Government,Primary,North Eastern Melbourne,Diamond Creek,No,21.79
908746,2,"165-179 Main Hurstbridge Road, Diamond Creek, 3089",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Secondary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Diamond Creek</div><div><strong>Distance from Melbourne Connect:</strong> 22.79 km</div>,,,,-37.672828,145.167403,0,Diamond Valley College,0,,1,0,Government,Secondary,North Eastern Melbourne,Diamond Creek,No,22.79
905161,2,"14-24 Brentwick Drive, Greensborough, 3088",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Special</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Greensborough</div><div><strong>Distance from Melbourne Connect:</strong> 18.08 km</div>,,,,-37.68675447,145.1116531,0,Diamond Valley Special Developmental School,0,,1,0,Government,Special,North Eastern Melbourne,Greensborough,No,18.08
905577,2,"145 Olivine Boulevard, Donnybrook, 3064",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Donnybrook</div><div><strong>Distance from Melbourne Connect:</strong> 29.40 km</div>,,,,-37.53707,144.997751,0,Donnybrook Primary School,0,,1,0,Government,Primary,North Eastern Melbourne,Donnybrook,No,29.40
900945,2,"75 Doctors Gully Road, Doreen, 3754",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Doreen</div><div><strong>Distance from Melbourne Connect:</strong> 26.83 km</div>,,,,-37.60601,145.145539,0,Doreen Primary School,0,,1,0,Government,Primary,North Eastern Melbourne,Doreen,No,26.83
901972,2,"55 Tyler Street, East Preston, 3072",<div><strong>Education sector:</strong> Independent</div><div><strong>School type:</strong> Pri/Sec</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> East Preston</div><div><strong>Distance from Melbourne Connect:</strong> 9.70 km</div>,,,,-37.73395414,145.0362184,0,East Preston Islamic College,0,,1,0,Independent,Pri/Sec,North Eastern Melbourne,East Preston,No,9.70
905310,2,"45 Macedon Parade, Wollert, 3750",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Wollert</div><div><strong>Distance from Melbourne Connect:</strong> 21.42 km</div>,,,,-37.609845,145.002573,0,Edgars Creek Primary School,0,,1,0,Government,Primary,North Eastern Melbourne,Wollert,No,21.42
907081,2,"2 Steen Avenue, Wollert, 3750",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Secondary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Wollert</div><div><strong>Distance from Melbourne Connect:</strong> 21.50 km</div>,,,,-37.609492,145.005071,0,Edgars Creek Secondary College,0,,1,0,Government,Secondary,North Eastern Melbourne,Wollert,No,21.50
